Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-10-03,48.046,48.211,47.798,47.963,18634915,0.0,0
2016-10-04,48.17,48.666,48.046,48.542,22021929,0.0,0
2016-10-05,48.542,49.079,48.418,48.748,16538742,0.0,0
2016-10-06,48.955,49.203,48.707,49.037,24688561,0.0,0
2016-10-07,48.748,48.789,48.294,48.707,17576883,0.0,0
2016-10-11,49.12,49.409,48.335,48.707,38185754,0.0,0
2016-10-12,48.376,48.707,48.294,48.5,15522496,0.0,0
2016-10-13,48.376,48.376,47.385,47.715,31354022,0.0,0
2016-10-14,47.839,48.418,47.839,48.335,13941434,0.0,0
2016-10-17,47.922,48.211,47.715,47.963,9888383,0.0,0
2016-10-18,48.17,48.748,48.17,48.748,11597217,0.0,0
2016-10-19,48.955,49.079,48.666,48.789,17732972,0.0,0
2016-10-20,49.062,49.229,49.02,49.229,14401131,0.775559,0
2016-10-21,49.229,49.229,49.229,49.229,0,0.0,0
2016-10-24,49.523,49.857,49.313,49.732,27827251,0.0,0
2016-10-25,49.481,49.69,49.229,49.606,9311657,0.0,0
2016-10-26,49.481,49.523,49.146,49.229,11136420,0.0,0
2016-10-27,49.355,49.397,48.769,49.146,19581085,0.0,0
2016-10-28,49.355,49.397,48.811,48.853,27462003,0.0,0
2016-10-31,48.769,49.104,48.727,48.853,33362951,0.0,0
2016-11-01,48.853,49.104,48.643,48.936,31483373,0.0,0
2016-11-02,48.56,48.685,48.141,48.309,18793559,0.0,0
2016-11-03,48.057,48.434,48.057,48.225,9591400,0.0,0
2016-11-04,48.225,48.309,47.932,48.099,8509834,0.0,0
2016-11-07,48.309,49.523,48.141,49.523,40605734,0.0,0
2016-11-08,49.816,49.816,49.355,49.481,38731950,0.0,0
2016-11-09,49.732,49.774,47.388,48.56,57682717,0.0,0
2016-11-10,50.067,50.234,49.774,50.234,87753448,0.0,0
2016-11-11,50.653,51.197,50.569,51.197,88314560,0.0,0
2016-11-14,50.904,51.657,50.485,50.778,42714401,0.0,0
2016-11-15,51.616,51.741,51.155,51.574,34663285,0.0,0
2016-11-16,51.909,51.909,51.155,51.448,26162064,0.0,0
2016-11-17,50.653,50.904,50.36,50.569,24462073,0.0,0
2016-11-18,50.737,51.155,50.527,51.155,21687469,0.0,0
2016-11-21,51.03,51.364,50.737,50.904,16456862,0.0,0
2016-11-22,50.988,51.699,50.988,51.657,22773350,0.0,0
2016-11-23,51.657,51.741,51.323,51.448,12888323,0.0,0
2016-11-24,51.406,51.616,51.155,51.448,15500591,0.0,0
2016-11-25,51.532,51.741,51.448,51.574,13656155,0.0,0
2016-11-28,51.657,51.867,51.49,51.49,18475241,0.0,0
2016-11-29,50.862,51.03,50.737,50.737,22342866,0.0,0
2016-11-30,51.071,51.239,50.862,51.113,15944530,0.0,0
2016-12-01,51.448,51.448,50.946,51.197,20564985,0.0,0
2016-12-02,50.946,51.323,50.82,51.197,51498578,0.0,0
2016-12-05,51.239,51.323,50.946,51.323,25718789,0.0,0
2016-12-06,51.909,53.081,51.825,53.081,56402254,0.0,0
2016-12-07,54.002,54.923,54.002,54.839,85089401,0.0,0
2016-12-08,55.802,56.304,54.169,54.713,82905814,0.0,0
2016-12-09,55.006,55.09,54.672,55.048,35700686,0.0,0
2016-12-12,55.174,55.425,53.792,54.085,43199277,0.0,0
2016-12-13,53.667,53.918,53.248,53.499,26855024,0.0,0
2016-12-14,54.337,54.672,53.918,54.044,32587393,0.0,0
2016-12-15,53.918,54.002,53.165,53.583,36147359,0.0,0
2016-12-16,53.499,53.876,53.332,53.541,24625253,0.0,0
2016-12-19,53.751,53.792,52.913,53.374,21134838,0.0,0
2016-12-20,52.788,53.039,51.909,52.327,30788754,0.0,0
2016-12-21,52.327,53.039,52.16,52.83,16680883,0.0,0
2016-12-22,52.83,52.83,52.076,52.369,15396670,0.0,0
2016-12-23,51.992,52.285,51.909,52.076,15238515,0.0,0
2016-12-28,51.741,52.034,51.364,51.867,19717962,0.0,0
2016-12-29,51.323,52.076,51.323,51.867,18099032,0.0,0
2016-12-30,51.699,52.411,51.699,52.118,15733981,0.0,0
2017-01-03,52.118,52.871,52.076,52.746,11331063,0.0,0
